"folioviv","entidad","gasto_agua_tot","tot_integ"
100013601,"Aguascalientes",312,3
100013602,"Aguascalientes",750,5
100013603,"Aguascalientes",750,2
100013604,"Aguascalientes",600,2
100013606,"Aguascalientes","NA",4
100026701,"Aguascalientes",741,4
100026703,"Aguascalientes",630,1
100026704,"Aguascalientes",690,2
100026706,"Aguascalientes","NA",3
100027201,"Aguascalientes",754.82,4
100027202,"Aguascalientes",609.66,2
100027204,"Aguascalientes",603.86,1
100027205,"Aguascalientes",315,2
100045501,"Aguascalientes",549,4
100045502,"Aguascalientes",580.64,4
100045503,"Aguascalientes",696.76,2
100045505,"Aguascalientes",900,5
100045506,"Aguascalientes",900,1
100054301,"Aguascalientes",600,4
100054302,"Aguascalientes",540,3
100054303,"Aguascalientes",270,9
100054305,"Aguascalientes",258,1
100054306,"Aguascalientes","NA",3
100058901,"Aguascalientes",516,2
100058902,"Aguascalientes",780,2
100058903,"Aguascalientes",552,4
100058906,"Aguascalientes",270,1
100062801,"Aguascalientes",900,6
100062802,"Aguascalientes",600,4
100062803,"Aguascalientes","NA",1
100062804,"Aguascalientes",390,2
100062805,"Aguascalientes",480,1
100062806,"Aguascalientes",360,1
100067401,"Aguascalientes",609.66,3
100067402,"Aguascalientes",603.86,3
100067403,"Aguascalientes",630,1
100067404,"Aguascalientes",450,1
100067405,"Aguascalientes",1362,3
100067406,"Aguascalientes",750,2
100068901,"Aguascalientes",780,5
100068902,"Aguascalientes",429,4
100068904,"Aguascalientes",600,9
100068906,"Aguascalientes",540,2
100069801,"Aguascalientes",480,3
100069802,"Aguascalientes",900,2
100069803,"Aguascalientes",900,3
100069804,"Aguascalientes",1200,4
100069805,"Aguascalientes","NA",1
100069806,"Aguascalientes",381,2
100073401,"Aguascalientes",510,2
100073402,"Aguascalientes",246,2
100073403,"Aguascalientes",750,6
100073404,"Aguascalientes",528,7
100073405,"Aguascalientes",540,4
100074001,"Aguascalientes",600,5
100074002,"Aguascalientes",810,5
100074003,"Aguascalientes",840,3
100074004,"Aguascalientes",476.12,3
100074005,"Aguascalientes",450,5
100074006,"Aguascalientes",528.38,2
100076401,"Aguascalientes",450,3
100076402,"Aguascalientes",210,5
100076403,"Aguascalientes",402,3
100076404,"Aguascalientes",498,7
100076405,"Aguascalientes",600,4
100076406,"Aguascalientes",504,2
100080001,"Aguascalientes",690,2
100080002,"Aguascalientes",594,2
100080003,"Aguascalientes",1500,10
100080003,"Aguascalientes",900,2
100080004,"Aguascalientes",540,7
100080005,"Aguascalientes",4500,9
100080006,"Aguascalientes",258,3
100082601,"Aguascalientes",648,9
100082602,"Aguascalientes",540,3
100082603,"Aguascalientes",480,4
100082604,"Aguascalientes",750,4
100082605,"Aguascalientes",489,3
100082606,"Aguascalientes",840,1
100084701,"Aguascalientes",288,2
100084702,"Aguascalientes",720,5
100084703,"Aguascalientes",1296,15
100084704,"Aguascalientes",1050,2
100084705,"Aguascalientes",540,7
100084706,"Aguascalientes",600,1
100095601,"Aguascalientes",492,1
100095603,"Aguascalientes",480,6
100095604,"Aguascalientes",590,4
100095605,"Aguascalientes",750,3
