folioviv,foliohog,entidad,ubica_geo
0100013601,1,01,01001
0100013602,1,01,01001
0100013603,1,01,01001
0100013604,1,01,01001
0100013606,1,01,01001
0100026701,1,01,01001
0100026703,1,01,01001
0100026704,1,01,01001
0100026706,1,01,01001
0100027201,1,01,01001
0100027202,1,01,01001
0100027204,1,01,01001
0100027205,1,01,01001
0100045501,1,01,01001
0100045502,1,01,01001
0100045503,1,01,01001
0100045505,1,01,01001
0100045506,1,01,01001
0100054301,1,01,01001
0100054302,1,01,01001
0100054303,1,01,01001
0100054305,1,01,01001
0100054306,1,01,01001
0100058901,1,01,01001
0100058902,1,01,01001
0100058903,1,01,01001
0100058906,1,01,01001
0100062801,1,01,01001
0100062802,1,01,01001
0100062803,1,01,01001
0100062804,1,01,01001
0100062805,1,01,01001
0100062806,1,01,01001
0100067401,1,01,01001
0100067402,1,01,01001
0100067403,1,01,01001
0100067404,1,01,01001
0100067405,1,01,01001
0100067406,1,01,01001
0100068901,1,01,01001
0100068902,1,01,01001
0100068904,1,01,01001
0100068906,1,01,01001
0100069801,1,01,01001
0100069802,1,01,01001
0100069803,1,01,01001
0100069804,1,01,01001
0100069805,1,01,01001
0100069806,1,01,01001
0100073401,1,01,01001
0100073402,1,01,01001
0100073403,1,01,01001
0100073404,1,01,01001
0100073405,1,01,01001
0100074001,1,01,01001
0100074002,1,01,01001
0100074003,1,01,01001
0100074004,1,01,01001
0100074005,1,01,01001
0100074006,1,01,01001
0100076401,1,01,01001
0100076402,1,01,01001
0100076403,1,01,01001
0100076404,1,01,01001
0100076405,1,01,01001
0100076406,1,01,01001
0100080001,1,01,01001
0100080002,1,01,01001
0100080003,1,01,01001
0100080003,2,01,01001
0100080004,1,01,01001
0100080005,1,01,01001
0100080006,1,01,01001
0100082601,1,01,01001
0100082602,1,01,01001
0100082603,1,01,01001
0100082604,1,01,01001
0100082605,1,01,01001
0100082606,1,01,01001
0100084701,1,01,01001
0100084702,1,01,01001
0100084703,1,01,01001
0100084704,1,01,01001
0100084705,1,01,01001
0100084706,1,01,01001
0100095601,1,01,01001
0100095603,1,01,01001
0100095604,1,01,01001
0100095605,1,01,01001
0100095606,1,01,01001
0100102202,1,01,01001
0100102203,1,01,01001
0100102204,1,01,01001
0100102205,1,01,01001
0100102206,1,01,01001
0100102206,2,01,01001
0100104701,1,01,01001
0100104702,1,01,01001
0100104703,1,01,01001
0100104705,1,01,01001
0100104705,2,01,01001
0100104706,1,01,01001
0100113501,1,01,01001
0100113502,1,01,01001
0100113503,1,01,01001
0100113505,1,01,01001
0100113506,1,01,01001
0100154201,1,01,01001
0100154203,1,01,01001
0100154204,1,01,01001
0100154205,1,01,01001
0100154206,1,01,01001
0100170501,1,01,01001
0100170502,1,01,01001
0100170503,1,01,01001
0100170504,1,01,01001
0100170505,1,01,01001
0100170506,1,01,01001
0100175303,1,01,01001
0100175305,1,01,01001
0100175306,1,01,01001
0100186301,1,01,01001
0100186303,1,01,01001
0100186304,1,01,01001
0100188902,1,01,01001
0100188903,1,01,01001
0100188904,1,01,01001
0100188906,1,01,01001
0100192801,1,01,01001
0100192802,1,01,01001
0100192803,1,01,01001
0100192805,1,01,01001
0100192806,1,01,01001
0100206401,1,01,01001
0100206405,1,01,01001
0100211002,1,01,01001
0100211003,1,01,01001
0100211004,1,01,01001
0100211005,1,01,01001
0100215601,1,01,01001
0100215603,1,01,01001
0100215603,2,01,01001
0100215604,1,01,01001
0100215605,1,01,01001
0100215606,1,01,01001
0100217901,1,01,01001
0100217902,1,01,01001
0100217903,1,01,01001
0100217904,1,01,01001
0100217905,1,01,01001
0100220702,1,01,01001
0100220703,1,01,01001
0100220704,1,01,01001
0100220705,1,01,01001
0100220706,1,01,01001
0100225001,1,01,01001
0100225003,1,01,01001
0100225004,1,01,01001
0100225005,1,01,01001
0100239201,1,01,01001
0100239202,1,01,01001
0100239204,1,01,01001
0100239206,1,01,01001
0100264801,1,01,01001
0100264802,1,01,01001
0100264803,1,01,01001
0100264804,1,01,01001
0100264805,1,01,01001
0100264806,1,01,01001
0100266501,1,01,01001
0100266502,1,01,01001
0100266504,1,01,01001
0100266505,1,01,01001
0100272301,1,01,01001
0100272302,1,01,01001
0100272303,1,01,01001
0100272304,1,01,01001
0100272305,1,01,01001
0100272306,1,01,01001
0100295601,1,01,01001
0100295602,1,01,01001
0100295603,1,01,01001
0100295604,1,01,01001
0100295606,1,01,01001
0100296701,1,01,01001
0100296702,1,01,01001
0100296703,1,01,01001
0100296704,1,01,01001
0100296705,1,01,01001
0100296706,1,01,01001
0100298201,1,01,01001
0100298202,1,01,01001
0100298203,1,01,01001
0100298204,1,01,01001
0100298205,1,01,01001
0100298206,1,01,01001
0100309902,1,01,01001
0100309904,1,01,01001
0100309905,1,01,01001
0100309906,1,01,01001
0100310804,1,01,01001
0100310805,1,01,01001
0100310806,1,01,01001
0100317502,1,01,01001
0100317503,1,01,01001
0100317504,1,01,01001
0100317505,1,01,01001
0100317506,1,01,01001
0100318301,1,01,01001
0100318302,1,01,01001
0100318303,1,01,01001
0100318304,1,01,01001
0100318305,1,01,01001
0100318306,1,01,01001
0100320401,1,01,01001
0100320402,1,01,01001
0100320403,1,01,01001
0100320404,1,01,01001
0100320405,1,01,01001
0100320406,1,01,01001
0100322001,1,01,01001
0100322002,1,01,01001
0100322004,1,01,01001
0100322005,1,01,01001
0100322006,1,01,01001
0100327401,1,01,01001
0100327402,1,01,01001
0100327403,1,01,01001
0100327405,1,01,01001
0100327406,1,01,01001
0100329601,1,01,01001
0100329602,1,01,01001
0100329603,1,01,01001
0100329604,1,01,01001
0100329605,1,01,01001
0100329606,1,01,01001
0100331701,1,01,01001
0100331703,1,01,01001
0100331704,1,01,01001
0100331706,1,01,01001
0100344201,1,01,01001
0100344202,1,01,01001
0100344203,1,01,01001
0100344204,1,01,01001
0100344205,1,01,01001
0100344206,1,01,01001
0100347501,1,01,01001
0100347502,1,01,01001
0100347503,1,01,01001
0100347504,1,01,01001
0100347505,1,01,01001
0100347506,1,01,01001
0100360301,1,01,01001
0100360303,1,01,01001
0100360304,1,01,01001
0100360305,1,01,01001
0100360306,1,01,01001
0100363001,1,01,01001
0100363002,1,01,01001
0100363003,1,01,01001
0100363004,1,01,01001
0100363005,1,01,01001
0100363006,1,01,01001
0100374901,1,01,01001
0100374902,1,01,01001
0100374905,1,01,01001
0100387901,1,01,01001
0100387902,1,01,01001
0100391801,1,01,01001
0100391802,1,01,01001
0100391805,1,01,01001
0100398601,1,01,01001
0100398602,1,01,01001
0100398603,1,01,01001
0100398604,1,01,01001
0100398605,1,01,01001
0100398606,1,01,01001
0100403701,1,01,01001
0100403702,1,01,01001
0100403705,1,01,01001
0100403706,1,01,01001
0100407801,1,01,01001
0100407803,1,01,01001
0100407804,1,01,01001
0100407805,1,01,01001
0100407806,1,01,01001
0100414201,1,01,01001
0100414202,1,01,01001
0100414203,1,01,01001
0100414204,1,01,01001
0100414205,1,01,01001
0100414206,1,01,01001
0100443401,1,01,01001
0100443402,1,01,01001
0100443403,1,01,01001
0100443404,1,01,01001
0100443405,1,01,01001
0100446501,1,01,01001
0100446503,1,01,01001
0100446504,1,01,01001
0100446505,1,01,01001
0100446506,1,01,01001
0100451302,1,01,01001
0100451304,1,01,01001
0100451305,1,01,01001
0100452901,1,01,01001
0100452902,1,01,01001
0100452903,1,01,01001
0100452904,1,01,01001
0100452905,1,01,01001
0100452906,1,01,01001
0100465001,1,01,01001
0100465002,1,01,01001
0100465003,1,01,01001
0100465004,1,01,01001
0100465005,1,01,01001
0100465006,1,01,01001
0100471602,1,01,01001
0100471603,1,01,01001
0100471604,1,01,01001
0100471605,1,01,01001
0100471606,1,01,01001
0100474801,1,01,01001
0100474802,1,01,01001
0100474802,2,01,01001
0100474803,1,01,01001
0100474804,1,01,01001
0100474805,1,01,01001
0100474806,1,01,01001
0100489701,1,01,01001
0100489703,1,01,01001
0100489704,1,01,01001
0100489705,1,01,01001
0100489706,1,01,01001
0100502402,1,01,01001
0100502403,1,01,01001
0100502404,1,01,01001
0100502406,1,01,01001
0100504001,1,01,01001
0100504002,1,01,01001
0100504003,1,01,01001
0100504006,1,01,01001
0100524201,1,01,01001
0100524202,1,01,01001
0100524203,1,01,01001
0100524204,1,01,01001
0100524205,1,01,01001
0100524206,1,01,01001
0100530501,1,01,01001
0100530502,1,01,01001
0100530503,1,01,01001
0100530504,1,01,01001
0100530506,1,01,01001
0100534301,1,01,01001
0100534303,1,01,01001
0100534304,1,01,01001
0100534305,1,01,01001
0100534306,1,01,01001
0100540901,1,01,01001
0100540903,1,01,01001
0100540905,1,01,01001
0100540906,1,01,01001
0100552402,1,01,01001
0100552403,1,01,01001
0100552404,1,01,01001
0100552405,1,01,01001
0100552406,1,01,01001
0100555001,1,01,01001
0100555003,1,01,01001
0100555004,1,01,01001
0100555005,1,01,01001
0100555006,1,01,01001
0100555006,2,01,01001
0100568801,1,01,01001
0100568802,1,01,01001
0100568803,1,01,01001
0100568804,1,01,01001
0100568805,1,01,01001
0100568806,1,01,01001
0100569401,1,01,01001
0100569402,1,01,01001
0100569403,1,01,01001
0100569404,1,01,01001
0100569405,1,01,01001
0100569406,1,01,01001
0100578002,1,01,01001
0100578003,1,01,01001
0100578004,1,01,01001
0100578005,1,01,01001
0100578006,1,01,01001
0100579602,1,01,01001
0100579603,1,01,01001
0100579604,1,01,01001
0100579605,1,01,01001
0100579606,1,01,01001
0100590701,1,01,01001
0100590702,1,01,01001
0100590703,1,01,01001
0100590704,1,01,01001
0100590705,1,01,01001
0100592203,1,01,01001
0100592204,1,01,01001
0100592205,1,01,01001
0100592206,1,01,01001
0100595601,1,01,01001
0100595602,1,01,01001
0100595604,1,01,01001
0100595605,1,01,01001
0100595606,1,01,01001
0100613601,1,01,01001
0100613602,1,01,01001
0100613603,1,01,01001
0100613604,1,01,01001
0100613605,1,01,01001
0100620701,1,01,01001
0100620704,1,01,01001
0100620705,1,01,01001
0100620706,1,01,01001
0100621201,1,01,01001
0100621202,1,01,01001
0100621203,1,01,01001
0100621205,1,01,01001
0100628501,1,01,01001
0100628502,1,01,01001
0100628503,1,01,01001
0100628504,1,01,01001
0100628505,1,01,01001
0100628506,1,01,01001
0100638301,1,01,01001
0100638302,1,01,01001
0100638305,1,01,01001
0100638306,1,01,01001
0100639901,1,01,01001
0100639902,1,01,01001
0100639903,1,01,01001
0100639904,1,01,01001
0100639905,1,01,01001
0100639906,1,01,01001
0100644801,1,01,01001
0100644802,1,01,01001
0100644803,1,01,01001
0100644804,1,01,01001
0100644805,1,01,01001
0100644806,1,01,01001
0100656401,1,01,01001
0100656402,1,01,01001
0100656403,1,01,01001
0100656404,1,01,01001
0100656405,1,01,01001
0100656405,2,01,01001
0100656406,1,01,01001
0100662501,1,01,01001
0100662504,1,01,01001
0100662505,1,01,01001
0100662506,1,01,01001
0100674301,1,01,01001
0100674302,1,01,01001
0100674304,1,01,01001
0100674305,1,01,01001
0100674306,1,01,01001
0100699001,1,01,01001
0100699002,1,01,01001
