folioviv,foliohog,gasto_agua_tot
0100013601,1,312.00
0100013602,1,750.00
0100013603,1,750.00
0100013604,1,600.00
0100026701,1,741.00
0100026703,1,630.00
0100026704,1,690.00
0100027201,1,754.82
0100027202,1,609.66
0100027204,1,603.86
0100027205,1,315.00
0100045501,1,549.00
0100045502,1,580.64
0100045503,1,696.76
0100045505,1,900.00
0100045506,1,900.00
0100054301,1,600.00
0100054302,1,540.00
0100054303,1,270.00
0100054305,1,258.00
0100058901,1,516.00
0100058902,1,780.00
0100058903,1,552.00
0100058906,1,270.00
0100062801,1,900.00
0100062802,1,600.00
0100062804,1,390.00
0100062805,1,480.00
0100062806,1,360.00
0100067401,1,609.66
0100067402,1,603.86
0100067403,1,630.00
0100067404,1,450.00
0100067405,1,1362.00
0100067406,1,750.00
0100068901,1,780.00
0100068902,1,429.00
0100068904,1,600.00
0100068906,1,540.00
0100069801,1,480.00
0100069802,1,900.00
0100069803,1,900.00
0100069804,1,1200.00
0100069806,1,381.00
0100073401,1,510.00
0100073402,1,246.00
0100073403,1,750.00
0100073404,1,528.00
0100073405,1,540.00
0100074001,1,600.00
0100074002,1,810.00
0100074003,1,840.00
0100074004,1,476.12
0100074005,1,450.00
0100074006,1,528.38
0100076401,1,450.00
0100076402,1,210.00
0100076403,1,402.00
0100076404,1,498.00
0100076405,1,600.00
0100076406,1,504.00
0100080001,1,690.00
0100080002,1,594.00
0100080003,1,1500.00
0100080003,2,900.00
0100080004,1,540.00
0100080005,1,4500.00
0100080006,1,258.00
0100082601,1,648.00
0100082602,1,540.00
0100082603,1,480.00
0100082604,1,750.00
0100082605,1,489.00
0100082606,1,840.00
0100084701,1,288.00
0100084702,1,720.00
0100084703,1,1296.00
0100084704,1,1050.00
0100084705,1,540.00
0100084706,1,600.00
0100095601,1,492.00
0100095603,1,480.00
0100095604,1,590.00
0100095605,1,750.00
0100095606,1,1146.00
0100102202,1,974.03
0100102203,1,501.77
0100102205,1,493.54
0100102206,1,1050.00
0100102206,2,900.00
0100104702,1,600.00
0100104703,1,1674.00
0100104705,1,780.00
0100104705,2,390.00
0100104706,1,900.00
0100113501,1,1050.00
0100113502,1,558.00
0100113505,1,660.00
0100113506,1,1350.00
0100154201,1,537.19
0100154203,1,783.86
0100154204,1,735.00
0100154205,1,1185.00
0100154206,1,426.00
0100170503,1,480.00
0100170504,1,270.00
0100170506,1,1188.00
0100175303,1,597.00
0100175306,1,249.00
0100186301,1,900.00
0100186303,1,1200.00
0100186304,1,540.00
0100188902,1,420.00
0100188903,1,630.00
0100188904,1,345.00
0100188906,1,810.00
0100192801,1,300.00
0100192802,1,1320.00
0100192803,1,492.00
0100192805,1,3222.00
0100192806,1,5550.00
0100206401,1,150.00
0100206405,1,900.00
