folioviv,foliohog,factor,disp_agua,dotac_agua,entidad,ubica_geo,gasto_agua_tot,tot_integ,hombres,mujeres,sexo_jefe,edad_jefe,educa_jefe
100013601,1,175,1,1,1,1001,312,3,2,1,1,74,4
100013602,1,175,1,1,1,1001,750,5,2,3,1,48,11
100013603,1,175,1,1,1,1001,750,2,1,1,1,39,10
100013604,1,175,1,1,1,1001,600,2,1,1,2,70,8
100013606,1,175,1,4,1,1001,NA,4,1,3,2,51,4
100026701,1,189,1,1,1,1001,741,4,2,2,2,41,11
100026703,1,189,1,2,1,1001,630,1,0,1,2,57,9
100026704,1,189,1,1,1,1001,690,2,1,1,1,53,11
100026706,1,189,1,2,1,1001,NA,3,2,1,1,30,6
100027201,1,186,1,1,1,1001,754.82,4,4,0,1,69,4
100027202,1,186,1,1,1,1001,609.66,2,0,2,2,76,3
100027204,1,186,1,1,1,1001,603.86,1,1,0,1,77,4
100027205,1,186,1,2,1,1001,315,2,1,1,1,70,6
100045501,1,186,1,2,1,1001,549,4,2,2,1,29,6
100045502,1,186,1,4,1,1001,580.64,4,3,1,1,68,9
100045503,1,186,1,1,1,1001,696.76,2,1,1,1,88,7
100045505,1,186,1,2,1,1001,900,5,2,3,1,51,6
100045506,1,186,1,1,1,1001,900,1,1,0,1,51,8
100054301,1,198,1,1,1,1001,600,4,2,2,1,58,6
100054302,1,198,1,1,1,1001,540,3,1,2,1,59,10
100054303,1,198,2,1,1,1001,270,9,3,6,2,47,6
100054305,1,198,1,1,1,1001,258,1,0,1,2,65,4
100054306,1,198,1,1,1,1001,NA,3,2,1,1,44,10
100058901,1,172,1,1,1,1001,516,2,1,1,2,66,3
100058902,1,172,1,1,1,1001,780,2,1,1,1,66,7
100058903,1,172,1,1,1,1001,552,4,1,3,1,70,4
100058906,1,172,1,1,1,1001,270,1,1,0,1,71,4
100062801,1,188,1,1,1,1001,900,6,3,3,1,34,6
100062802,1,188,1,1,1,1001,600,4,1,3,2,50,10
100062803,1,188,1,1,1,1001,NA,1,0,1,2,60,4
100062804,1,188,1,1,1,1001,390,2,1,1,1,27,8
100062805,1,188,1,1,1,1001,480,1,0,1,2,52,11
